filename,cmax,state,runtime,best_solution_time
aslib0_280a.RCP,92,Optimal,0.107,0.08
aslib0_281a.RCP,97,Optimal,0.079,0.052
aslib0_282a.RCP,95,Optimal,0.104,0.077
aslib0_283a.RCP,100,Optimal,0.097,0.072
aslib0_284a.RCP,105,Optimal,0.11,0.074
aslib0_285a.RCP,97,Optimal,0.119,0.088
aslib0_286a.RCP,98,Optimal,0.06,0.047
aslib0_287a.RCP,79,Optimal,0.043,0.034
aslib0_288a.RCP,107,Optimal,0.042,0.032
aslib0_289a.RCP,93,Optimal,0.043,0.034
aslib0_290a.RCP,91,Optimal,0.049,0.037
aslib0_291a.RCP,96,Optimal,0.07,0.053
aslib0_292a.RCP,84,Optimal,0.069,0.041
aslib0_293a.RCP,84,Optimal,0.087,0.072
aslib0_294a.RCP,109,Optimal,0.091,0.082
aslib0_295a.RCP,98,Optimal,0.143,0.115
aslib0_296a.RCP,91,Optimal,0.08,0.063
aslib0_297a.RCP,90,Optimal,0.088,0.056
aslib0_298a.RCP,81,Optimal,0.085,0.069
aslib0_299a.RCP,81,Optimal,0.089,0.072
aslib0_300a.RCP,84,Optimal,0.115,0.073
aslib0_301a.RCP,90,Optimal,0.087,0.077
aslib0_302a.RCP,85,Optimal,0.077,0.062
aslib0_303a.RCP,75,Optimal,0.105,0.076
aslib0_304a.RCP,90,Optimal,0.117,0.085
aslib0_305a.RCP,85,Optimal,0.275,0.171
aslib0_306a.RCP,89,Optimal,0.118,0.063
aslib0_307a.RCP,91,Optimal,0.101,0.079
aslib0_308a.RCP,77,Optimal,0.066,0.057
aslib0_309a.RCP,91,Optimal,0.137,0.125
aslib0_310a.RCP,86,Optimal,0.099,0.083
aslib0_311a.RCP,81,Optimal,0.143,0.102
aslib0_312a.RCP,78,Optimal,0.098,0.081
aslib0_313a.RCP,87,Optimal,0.091,0.076
aslib0_314a.RCP,83,Optimal,0.144,0.114
aslib0_315a.RCP,87,Optimal,0.109,0.087
aslib0_316a.RCP,84,Optimal,0.103,0.078
aslib0_317a.RCP,74,Optimal,0.272,0.141
aslib0_318a.RCP,94,Optimal,0.119,0.078
aslib0_319a.RCP,85,Optimal,0.106,0.073
aslib0_320a.RCP,89,Optimal,0.092,0.082
aslib0_321a.RCP,89,Optimal,0.156,0.083
aslib0_322a.RCP,79,Optimal,0.05,0.037
aslib0_323a.RCP,83,Optimal,0.077,0.068
aslib0_324a.RCP,84,Optimal,0.595,0.243
aslib0_325a.RCP,80,Optimal,0.12,0.085
aslib0_326a.RCP,92,Optimal,0.107,0.092
aslib0_327a.RCP,92,Optimal,0.42,0.294
aslib0_328a.RCP,95,Feasible,5.023,0.117
aslib0_329a.RCP,83,Feasible,5.06,0.296
aslib0_330a.RCP,92,Optimal,0.135,0.077
aslib0_331a.RCP,81,Optimal,0.141,0.084
aslib0_332a.RCP,78,Optimal,0.171,0.158
aslib0_333a.RCP,90,Optimal,0.158,0.122
aslib0_334a.RCP,86,Optimal,0.099,0.08
aslib0_335a.RCP,74,Optimal,0.131,0.101
aslib0_336a.RCP,81,Optimal,0.091,0.068
aslib0_337a.RCP,92,Optimal,0.181,0.083
aslib0_338a.RCP,94,Optimal,0.13,0.108
aslib0_339a.RCP,91,Optimal,0.082,0.068
aslib0_340a.RCP,106,Optimal,0.061,0.041
aslib0_341a.RCP,78,Optimal,0.054,0.043
aslib0_342a.RCP,99,Optimal,0.125,0.113
aslib0_343a.RCP,81,Optimal,0.164,0.114
aslib0_344a.RCP,84,Optimal,0.148,0.136
aslib0_345a.RCP,88,Optimal,0.072,0.054
aslib0_346a.RCP,90,Optimal,0.089,0.074
aslib0_347a.RCP,84,Optimal,0.151,0.133
aslib0_348a.RCP,80,Optimal,0.058,0.04
aslib0_349a.RCP,79,Optimal,0.08,0.052
aslib0_350a.RCP,76,Optimal,0.733,0.719
aslib0_351a.RCP,84,Optimal,0.13,0.11
aslib0_352a.RCP,86,Optimal,0.115,0.103
aslib0_353a.RCP,89,Feasible,5.029,0.919
aslib0_354a.RCP,84,Optimal,0.106,0.077
aslib0_355a.RCP,82,Optimal,0.18,0.152
